Time,ROI_Name,ROI,Mean_Calcium,Mean_Background,Ratio
27,background,0,6.866,38.489,0.178388631
27,Airpore Old 1,1,8.041,34.73,0.231528938
27,Airpore Old 2,2,11.679,45.784,0.255089114
27,Airpore Old 3,3,10.924,46.67,0.234068995
27,Airpore Medium 1,4,7.91,36.629,0.215949111
27,Airpore Medium 2,5,9.278,45.434,0.204208302
27,Airpore young 1,6,9.747,42.085,0.231602709
30,background,0,6.816,37.953,0.179590546
30,Airpore Old 1,1,8.178,34.408,0.237677284
30,Airpore Old 2,2,11.662,45.35,0.257155458
30,Airpore Old 3,3,10.911,46.803,0.233126082
30,Airpore Medium 1,4,7.935,36.234,0.218993211
30,Airpore Medium 2,5,9.026,45.37,0.198942032
30,Airpore young 1,6,9.685,42.411,0.228360567
33,background,0,6.831,38.033,0.179607183
33,Airpore Old 1,1,8.407,34.226,0.245631976
33,Airpore Old 2,2,11.562,45.092,0.256409119
33,Airpore Old 3,3,10.743,46.507,0.230997484
33,Airpore Medium 1,4,8.1,36.416,0.222429701
33,Airpore Medium 2,5,8.989,45.346,0.198231377
33,Airpore young 1,6,9.537,41.584,0.229343017
36,background,0,6.801,38.178,0.178139242
36,Airpore Old 1,1,8.447,34.722,0.243275157
36,Airpore Old 2,2,11.682,45.228,0.258291324
36,Airpore Old 3,3,11.167,46.866,0.238275082
36,Airpore Medium 1,4,8.2,36.788,0.222898771
36,Airpore Medium 2,5,9.02,45.249,0.199341422
36,Airpore young 1,6,9.587,42.184,0.227266262
39,background,0,6.995,38.286,0.18270386
39,Airpore Old 1,1,7.94,34.421,0.230673136
39,Airpore Old 2,2,11.682,45.311,0.25781819
39,Airpore Old 3,3,11.874,46.558,0.255036728
39,Airpore Medium 1,4,7.914,36.561,0.216460162
39,Airpore Medium 2,5,8.966,45.121,0.198710135
39,Airpore young 1,6,9.449,42.305,0.223354213
42,background,0,6.86,38.198,0.179590554
42,Airpore Old 1,1,7.954,34.27,0.232098045
42,Airpore Old 2,2,11.608,46.086,0.251876926
42,Airpore Old 3,3,12.262,46.566,0.263325173
42,Airpore Medium 1,4,7.922,36.645,0.21618229
42,Airpore Medium 2,5,8.997,45.625,0.197194521
42,Airpore young 1,6,9.423,41.606,0.226481757
45,background,0,6.823,38.304,0.178127611
45,Airpore Old 1,1,7.732,34.28,0.225554259
45,Airpore Old 2,2,11.285,45.886,0.245935579
45,Airpore Old 3,3,12.06,46.806,0.257659274
45,Airpore Medium 1,4,7.527,36.462,0.206434096
45,Airpore Medium 2,5,9.051,45.399,0.199365625
45,Airpore young 1,6,9.335,42.537,0.219456003
48,background,0,6.901,38.349,0.179952541
48,Airpore Old 1,1,7.629,34.757,0.219495353
48,Airpore Old 2,2,11.659,45.413,0.256732654
48,Airpore Old 3,3,11.858,46.775,0.253511491
48,Airpore Medium 1,4,7.534,37.079,0.203187788
48,Airpore Medium 2,5,8.947,46.063,0.194233984
48,Airpore young 1,6,9.292,42.444,0.218923758
51,background,0,6.882,38.296,0.179705452
51,Airpore Old 1,1,7.783,34.056,0.228535354
51,Airpore Old 2,2,11.71,45.708,0.256191476
51,Airpore Old 3,3,11.808,46.678,0.252967137
51,Airpore Medium 1,4,7.794,36.399,0.214126762
51,Airpore Medium 2,5,9.059,46.074,0.196618483
51,Airpore young 1,6,9.586,42.366,0.226266346
54,background,0,6.841,38.425,0.178035133
54,Airpore Old 1,1,7.738,34.025,0.227421014
54,Airpore Old 2,2,12.85,45.941,0.27970658
54,Airpore Old 3,3,12.026,46.805,0.256938361
54,Airpore Medium 1,4,7.842,36.81,0.213039935
54,Airpore Medium 2,5,9.222,45.858,0.201099045
54,Airpore young 1,6,9.515,42.241,0.225255084
57,background,0,6.931,38.113,0.181853961
57,Airpore Old 1,1,7.533,34.171,0.220450089
57,Airpore Old 2,2,13.323,45.465,0.293038601
57,Airpore Old 3,3,11.756,46.605,0.252247613
57,Airpore Medium 1,4,7.617,36.332,0.209649895
57,Airpore Medium 2,5,9.518,45.881,0.207449707
57,Airpore young 1,6,10.051,42.459,0.236722485
60,background,0,6.948,38.174,0.182008697
60,Airpore Old 1,1,7.704,33.846,0.227619216
60,Airpore Old 2,2,13.379,45.698,0.292769924
60,Airpore Old 3,3,11.444,46.617,0.245489843
60,Airpore Medium 1,4,7.563,36.242,0.208680536
60,Airpore Medium 2,5,9.304,45.942,0.202516216
60,Airpore young 1,6,10.404,42.21,0.246481876
63,background,0,6.857,38.57,0.177780659
63,Airpore Old 1,1,7.773,34.548,0.224991316
63,Airpore Old 2,2,12.867,45.975,0.279869494
63,Airpore Old 3,3,11.328,47.119,0.240412572
63,Airpore Medium 1,4,7.803,36.646,0.212929105
63,Airpore Medium 2,5,8.969,45.837,0.195671619
63,Airpore young 1,6,10.41,42.768,0.243406285
66,background,0,6.885,38.197,0.180249758
66,Airpore Old 1,1,7.997,34.559,0.231401372
66,Airpore Old 2,2,12.907,45.456,0.283944914
66,Airpore Old 3,3,11.401,46.527,0.245040514
66,Airpore Medium 1,4,7.927,36.742,0.215747646
66,Airpore Medium 2,5,9.03,45.553,0.198230632
66,Airpore young 1,6,10.579,42.126,0.25112757
69,background,0,6.983,38.553,0.181127279
69,Airpore Old 1,1,8.103,35.014,0.231421717
69,Airpore Old 2,2,13.062,45.418,0.287595227
69,Airpore Old 3,3,11.304,47.366,0.238652198
69,Airpore Medium 1,4,8.07,37.388,0.215844656
69,Airpore Medium 2,5,8.831,45.686,0.193297728
69,Airpore young 1,6,10.692,41.982,0.254680577
72,background,0,6.907,37.753,0.182952348
72,Airpore Old 1,1,8.441,34.476,0.244836988
72,Airpore Old 2,2,12.441,45.838,0.271412365
72,Airpore Old 3,3,11.018,46.435,0.237277915
72,Airpore Medium 1,4,8.298,36.829,0.225311575
72,Airpore Medium 2,5,8.71,45.633,0.190870642
72,Airpore young 1,6,11.32,42.082,0.268998622
75,background,0,6.959,37.86,0.183808769
75,Airpore Old 1,1,8.217,34.688,0.236883072
75,Airpore Old 2,2,12.518,45.251,0.276634771
75,Airpore Old 3,3,11.163,46.215,0.241544953
75,Airpore Medium 1,4,8.189,36.773,0.222690561
75,Airpore Medium 2,5,8.494,45.282,0.187580054
75,Airpore young 1,6,10.708,42.481,0.252065629
78,background,0,7.149,38.283,0.186740851
78,Airpore Old 1,1,8.055,34.661,0.232393757
78,Airpore Old 2,2,12.03,44.92,0.267809439
78,Airpore Old 3,3,10.903,46.537,0.234286697
78,Airpore Medium 1,4,8.057,37.037,0.217539218
78,Airpore Medium 2,5,8.602,45.885,0.187468672
78,Airpore young 1,6,10.697,41.741,0.256270813
81,background,0,6.885,37.89,0.181710214
81,Airpore Old 1,1,7.814,34.288,0.22789314
81,Airpore Old 2,2,11.729,45.272,0.259078459
81,Airpore Old 3,3,11.01,46.314,0.237725094
81,Airpore Medium 1,4,7.902,36.786,0.214809982
81,Airpore Medium 2,5,8.736,45.722,0.191067757
81,Airpore young 1,6,9.827,41.782,0.235196975
84,background,0,7.175,37.981,0.188910245
84,Airpore Old 1,1,8.001,34.783,0.230026162
84,Airpore Old 2,2,11.786,45.172,0.26091384
84,Airpore Old 3,3,11.012,46.624,0.236187371
84,Airpore Medium 1,4,8.016,37.178,0.215611383
84,Airpore Medium 2,5,8.778,45.245,0.194010388
84,Airpore young 1,6,9.675,42.276,0.22885325
87,background,0,7.155,38.298,0.186824377
87,Airpore Old 1,1,8.158,34.425,0.23697894
87,Airpore Old 2,2,11.97,45.288,0.264308426
87,Airpore Old 3,3,10.755,46.447,0.231554245
87,Airpore Medium 1,4,8.145,36.328,0.224207223
87,Airpore Medium 2,5,8.658,45.691,0.189490272
87,Airpore young 1,6,10.031,42.394,0.236613672
90,background,0,7.19,38.198,0.18822975
90,Airpore Old 1,1,8.248,34.378,0.23992088
90,Airpore Old 2,2,11.869,44.934,0.264142965
90,Airpore Old 3,3,10.927,46.476,0.235110595
90,Airpore Medium 1,4,8.289,36.744,0.225587851
90,Airpore Medium 2,5,8.448,46.431,0.181947406
90,Airpore young 1,6,10.295,42.674,0.241247598
93,background,0,7.069,38.068,0.185694021
93,Airpore Old 1,1,8.321,34.414,0.241791132
93,Airpore Old 2,2,11.865,45.29,0.261978362
93,Airpore Old 3,3,11.195,46.811,0.23915319
93,Airpore Medium 1,4,8.305,36.908,0.225018966
93,Airpore Medium 2,5,8.364,45.85,0.182420938
93,Airpore young 1,6,9.937,42.28,0.235028382
96,background,0,7.112,37.919,0.187557689
96,Airpore Old 1,1,8.758,34.362,0.254874571
96,Airpore Old 2,2,11.602,45.562,0.254642026
96,Airpore Old 3,3,11.02,46.499,0.236994344
96,Airpore Medium 1,4,8.612,36.724,0.234506045
96,Airpore Medium 2,5,8.501,46.186,0.184060105
96,Airpore young 1,6,9.821,41.976,0.233967029
99,background,0,7.104,38.37,0.185144644
99,Airpore Old 1,1,9.233,34.748,0.265713135
99,Airpore Old 2,2,11.302,45.576,0.247981394
99,Airpore Old 3,3,11.044,46.608,0.236955029
99,Airpore Medium 1,4,8.92,37.05,0.240755735
99,Airpore Medium 2,5,8.591,46.056,0.186533785
99,Airpore young 1,6,9.631,41.874,0.229999522
102,background,0,7.15,37.866,0.188823747
