"Time","ROIName","ROI","Mean_Calcium","Mean_Background","Ratio"
234,"Airpore Old 3",3,4.444,38.947,0.114103782062803
234,"Airpore Medium 1",4,6.86,58.099,0.118074321416892
234,"Airpore Medium 2",5,5.614,56.074,0.100117701608589
237,"background",0,8.53,72.965,0.11690536558624
237,"Airpore Old 1",1,7.046,79.993,0.0880827072368832
237,"Airpore Old 2",2,7.08,66.943,0.105761618093004
237,"Airpore Old 3",3,4.267,39.035,0.109312155757653
237,"Airpore Medium 1",4,6.697,57.483,0.116504009881182
237,"Airpore Medium 2",5,5.632,55.258,0.101921893662456
240,"background",0,8.585,73.561,0.116705863161186
240,"Airpore Old 1",1,6.747,79.799,0.0845499317034048
240,"Airpore Old 2",2,6.884,67.046,0.102675774841154
240,"Airpore Old 3",3,4.379,38.826,0.112785246999433
240,"Airpore Medium 1",4,7.061,57.899,0.121953747042263
240,"Airpore Medium 2",5,5.779,56.044,0.103115409321248
243,"background",0,8.516,73.332,0.116129384170621
243,"Airpore Old 1",1,6.977,80.412,0.0867656568671342
243,"Airpore Old 2",2,6.852,66.601,0.102881338118046
243,"Airpore Old 3",3,4.518,38.951,0.115991887242946
243,"Airpore Medium 1",4,6.897,57.417,0.120121218454465
243,"Airpore Medium 2",5,5.606,55.739,0.100575898383538
246,"background",0,8.541,73.263,0.116579992629294
246,"Airpore Old 1",1,6.844,79.393,0.0862040734069754
246,"Airpore Old 2",2,6.956,67.116,0.103641456582633
246,"Airpore Old 3",3,4.541,39.207,0.115821154385696
246,"Airpore Medium 1",4,6.842,58.005,0.117955348676838
246,"Airpore Medium 2",5,5.778,56.522,0.102225682035314
249,"background",0,8.616,73.14,0.11780147662018
249,"Airpore Old 1",1,7.103,79.796,0.0890144869417013
249,"Airpore Old 2",2,6.967,67.433,0.103317366867854
249,"Airpore Old 3",3,4.358,39.011,0.111712081207864
249,"Airpore Medium 1",4,6.734,57.776,0.116553586264193
249,"Airpore Medium 2",5,5.872,55.6,0.105611510791367
252,"background",0,8.666,74.55,0.116244131455399
252,"Airpore Old 1",1,6.889,80.156,0.0859449074305105
252,"Airpore Old 2",2,6.925,66.926,0.103472492006096
252,"Airpore Old 3",3,4.556,39.457,0.115467470917708
252,"Airpore Medium 1",4,6.801,56.404,0.120576554854266
252,"Airpore Medium 2",5,5.907,55.331,0.106757513871067
255,"background",0,8.597,74.905,0.114772044589814
255,"Airpore Old 1",1,6.746,80.307,0.0840026398695008
255,"Airpore Old 2",2,6.918,66.326,0.10430298827006
255,"Airpore Old 3",3,4.414,38.985,0.113223034500449
255,"Airpore Medium 1",4,6.774,57.143,0.118544703638241
255,"Airpore Medium 2",5,5.909,55.07,0.107299800254222
258,"background",0,8.623,75.074,0.114860004795269
