Time,ROI_Name,ROI,Mean_Calcium,Mean_Background,Ratio
99,Airpore Old 1,1,6.54,65.064,0.100516415
99,Airpore Old 2,2,7.188,60.76,0.118301514
99,Airpore Old 3,3,8.95,46.435,0.192742543
99,Airpore Medium 1,4,5.421,35.925,0.150897704
99,Airpore Medium 2,5,8.637,62.954,0.137195413
102,background,0,8.011,53.009,0.151125281
102,Airpore Old 1,1,6.311,65.544,0.096286464
102,Airpore Old 2,2,7.05,59.742,0.118007432
102,Airpore Old 3,3,9.001,47.03,0.191388475
102,Airpore Medium 1,4,5.475,35.878,0.152600479
102,Airpore Medium 2,5,8.247,62.578,0.131787529
105,background,0,7.894,52.95,0.149084042
105,Airpore Old 1,1,6.437,65.735,0.097923481
105,Airpore Old 2,2,7.329,60.446,0.121248718
105,Airpore Old 3,3,9.103,46.86,0.194259496
105,Airpore Medium 1,4,5.51,35.872,0.153601695
105,Airpore Medium 2,5,8.446,62.735,0.134629792
108,background,0,7.974,53.116,0.150124256
108,Airpore Old 1,1,6.333,66.18,0.095693563
108,Airpore Old 2,2,6.851,60.032,0.114122468
108,Airpore Old 3,3,9.202,46.813,0.196569329
108,Airpore Medium 1,4,5.625,35.61,0.157961247
108,Airpore Medium 2,5,8.319,62.214,0.133715884
111,background,0,7.884,53.277,0.147981305
111,Airpore Old 1,1,6.389,65.793,0.097107595
111,Airpore Old 2,2,7.2,59.972,0.120056026
111,Airpore Old 3,3,9.22,46.639,0.19768863
111,Airpore Medium 1,4,5.428,35.898,0.151206195
111,Airpore Medium 2,5,8.43,62.776,0.134286989
114,background,0,7.869,53.276,0.14770253
114,Airpore Old 1,1,6.37,65.737,0.096901288
114,Airpore Old 2,2,7.108,59.814,0.118835055
114,Airpore Old 3,3,9.091,47.078,0.19310506
114,Airpore Medium 1,4,5.281,35.29,0.149645792
114,Airpore Medium 2,5,8.359,63.331,0.131989073
117,background,0,7.792,52.983,0.14706604
117,Airpore Old 1,1,6.3,65.349,0.096405454
117,Airpore Old 2,2,7.121,60.896,0.116937073
117,Airpore Old 3,3,8.939,47.163,0.189534169
117,Airpore Medium 1,4,5.168,34.907,0.148050534
117,Airpore Medium 2,5,8.128,62.868,0.12928676
120,background,0,7.911,52.741,0.149997156
120,Airpore Old 1,1,6.308,65.368,0.096499816
120,Airpore Old 2,2,7.029,60.307,0.116553634
120,Airpore Old 3,3,9.026,47.072,0.19174881
120,Airpore Medium 1,4,5.334,35.362,0.150839885
120,Airpore Medium 2,5,8.146,62.898,0.129511272
123,background,0,7.804,52.816,0.147758255
123,Airpore Old 1,1,6.317,66.052,0.095636771
123,Airpore Old 2,2,6.685,59.611,0.112143732
123,Airpore Old 3,3,9.107,46.711,0.194964783
123,Airpore Medium 1,4,5.423,34.928,0.155262254
123,Airpore Medium 2,5,8.119,62.162,0.130610341
126,background,0,7.859,52.563,0.149515819
126,Airpore Old 1,1,6.39,65.447,0.097636255
126,Airpore Old 2,2,6.87,59.069,0.116304661
126,Airpore Old 3,3,9.055,46.475,0.194835933
126,Airpore Medium 1,4,5.282,35.599,0.148374954
126,Airpore Medium 2,5,8.122,64.324,0.126267023
129,background,0,7.767,52.523,0.147878072
129,Airpore Old 1,1,6.29,65.169,0.096518283
129,Airpore Old 2,2,6.975,59.566,0.117097002
129,Airpore Old 3,3,8.833,46.692,0.189175876
129,Airpore Medium 1,4,5.392,35.712,0.150985663
129,Airpore Medium 2,5,8.176,62.59,0.130627896
132,background,0,7.72,52.911,0.145905388
132,Airpore Old 1,1,6.158,65.563,0.093924927
132,Airpore Old 2,2,6.804,59.971,0.113454837
132,Airpore Old 3,3,8.858,47.464,0.186625653
132,Airpore Medium 1,4,5.302,35.655,0.148702847
132,Airpore Medium 2,5,8.354,63.29,0.131995576
135,background,0,7.783,53.004,0.146837974
135,Airpore Old 1,1,6.23,65.955,0.094458343
135,Airpore Old 2,2,6.816,60.15,0.113316708
135,Airpore Old 3,3,9.16,46.838,0.195567701
135,Airpore Medium 1,4,5.28,35.397,0.149165183
