Time,ROI_Name,ROI,Mean_Calcium,Mean_Background,Ratio
270,Airpore Old 2,2,9.374,42.93,0.218355462
270,Airpore Old 3,3,9.062,42.991,0.210788305
270,Airpore Medium 1,4,10.213,43.253,0.23612235
273,background,0,6.272,40.717,0.154038854
273,Airpore Old 1,1,9.546,40.604,0.23509999
273,Airpore Old 2,2,9.179,42.86,0.214162389
273,Airpore Old 3,3,9.094,42.616,0.21339403
273,Airpore Medium 1,4,10.05,43.254,0.232348453
276,background,0,6.125,40.747,0.150317815
276,Airpore Old 1,1,9.678,40.846,0.236938746
276,Airpore Old 2,2,9.153,42.699,0.214360992
276,Airpore Old 3,3,9.349,42.872,0.218067737
276,Airpore Medium 1,4,9.773,43.693,0.223674273
279,background,0,6.054,40.942,0.147867715
279,Airpore Old 1,1,9.489,40.824,0.232436802
279,Airpore Old 2,2,9.004,42.499,0.211863809
279,Airpore Old 3,3,9.338,42.739,0.218488968
279,Airpore Medium 1,4,9.975,43.235,0.230715855
282,background,0,5.976,40.744,0.146671903
282,Airpore Old 1,1,9.196,41.005,0.224265333
282,Airpore Old 2,2,9.01,43.277,0.208193729
282,Airpore Old 3,3,9.453,43.469,0.21746532
282,Airpore Medium 1,4,9.985,42.869,0.232918892
285,background,0,6.121,40.651,0.150574402
285,Airpore Old 1,1,9.489,40.959,0.231670695
285,Airpore Old 2,2,9.195,42.706,0.215309324
285,Airpore Old 3,3,9.443,43.608,0.216542836
285,Airpore Medium 1,4,9.905,43.187,0.229351425
288,background,0,6.094,40.966,0.148757506
288,Airpore Old 1,1,9.205,40.946,0.224808284
288,Airpore Old 2,2,9.076,42.935,0.211389309
288,Airpore Old 3,3,9.36,43.406,0.215638391
288,Airpore Medium 1,4,9.695,43.295,0.22392886
291,background,0,6.081,41.264,0.147368166
291,Airpore Old 1,1,9.028,40.931,0.220566319
291,Airpore Old 2,2,8.985,43.237,0.207808127
291,Airpore Old 3,3,9.265,43.699,0.212018582
291,Airpore Medium 1,4,9.424,43.168,0.218309859
294,background,0,6.043,40.884,0.147808434
294,Airpore Old 1,1,8.942,40.802,0.219155924
294,Airpore Old 2,2,9.171,43.341,0.211601024
294,Airpore Old 3,3,9.12,43.128,0.21146355
294,Airpore Medium 1,4,9.512,43.087,0.220762643
297,background,0,5.919,40.88,0.144789628
297,Airpore Old 1,1,9.071,41.395,0.219132746
297,Airpore Old 2,2,9.216,43.366,0.212516718
297,Airpore Old 3,3,9.088,42.605,0.213308297
297,Airpore Medium 1,4,9.339,43.063,0.216868309
300,background,0,6.13,40.677,0.150699412
300,Airpore Old 1,1,9.009,40.833,0.220630372
300,Airpore Old 2,2,9.124,43.031,0.212033185
300,Airpore Old 3,3,9.028,43.133,0.2093061
300,Airpore Medium 1,4,9.558,43.486,0.219794877
303,background,0,6.089,40.889,0.148915356
303,Airpore Old 1,1,9.452,40.978,0.230660354
303,Airpore Old 2,2,9.13,43.662,0.209106317
303,Airpore Old 3,3,9.119,43.825,0.208077581
303,Airpore Medium 1,4,9.452,42.974,0.219946945
306,background,0,6.074,41.069,0.147897441
306,Airpore Old 1,1,10,40.479,0.247041676
306,Airpore Old 2,2,9.572,43.122,0.221974862
306,Airpore Old 3,3,9.176,43.502,0.210932831
306,Airpore Medium 1,4,9.48,43.243,0.219226233
309,background,0,6.015,40.909,0.14703366
309,Airpore Old 1,1,9.855,41.277,0.238752816
309,Airpore Old 2,2,9.34,42.993,0.217244668
309,Airpore Old 3,3,9.025,42.943,0.210162308
309,Airpore Medium 1,4,9.887,43.128,0.22924782
312,background,0,6.141,40.996,0.149795102
312,Airpore Old 1,1,9.708,40.598,0.23912508
312,Airpore Old 2,2,9.342,43.005,0.217230555
312,Airpore Old 3,3,9.225,42.869,0.215190464
312,Airpore Medium 1,4,10.039,42.6,0.235657277
315,background,0,6.344,41.002,0.15472416
315,Airpore Old 1,1,9.406,40.807,0.230499669
315,Airpore Old 2,2,9.056,42.699,0.212089276
315,Airpore Old 3,3,9.204,43.007,0.214011673
315,Airpore Medium 1,4,9.825,42.776,0.22968487
318,background,0,6.298,41.129,0.153127963
318,Airpore Old 1,1,9.522,41.214,0.231037997
318,Airpore Old 2,2,8.943,42.526,0.210294878
318,Airpore Old 3,3,9.057,42.548,0.21286547
318,Airpore Medium 1,4,9.939,42.824,0.232089483
321,background,0,6.32,40.904,0.154508117
321,Airpore Old 1,1,9.354,40.612,0.230326012
321,Airpore Old 2,2,9.209,42.935,0.214487015
321,Airpore Old 3,3,9.158,42.529,0.215335418
321,Airpore Medium 1,4,9.759,42.863,0.227678884
324,background,0,6.285,40.873,0.153768992
324,Airpore Old 1,1,9.133,41.067,0.222392675
324,Airpore Old 2,2,9.23,43.144,0.21393473
324,Airpore Old 3,3,9.22,43.249,0.21318412
324,Airpore Medium 1,4,9.371,42.833,0.218779913
327,background,0,6.123,41.091,0.149010732
327,Airpore Old 1,1,9.324,41.215,0.226228315
327,Airpore Old 2,2,9.249,42.81,0.216047652
327,Airpore Old 3,3,8.825,43.618,0.202324728
327,Airpore Medium 1,4,9.41,43.194,0.217854332
330,background,0,6.048,40.943,0.147717559
330,Airpore Old 1,1,9.622,41.47,0.232023149
330,Airpore Old 2,2,9.159,42.399,0.216019246
330,Airpore Old 3,3,9.044,43.52,0.2078125
330,Airpore Medium 1,4,9.632,42.573,0.226246682
333,background,0,6.058,40.955,0.147918447
333,Airpore Old 1,1,9.269,41.227,0.224828389
333,Airpore Old 2,2,9.16,43.147,0.212297495
333,Airpore Old 3,3,9.054,43.341,0.208901502
333,Airpore Medium 1,4,10.106,43.126,0.234336595
336,background,0,6.028,40.951,0.147200313
336,Airpore Old 1,1,9.272,41.395,0.223988404
