 ,Area,Mean,Min,Max,Ch,Frame
221,1068.017,9.497,0,43,1,23
222,1068.017,9.690,0,40,1,23
223,1068.017,9.342,0,39,1,23
224,1068.017,10.070,0,50,1,23
225,2248.080,6.323,0,46,1,23
226,1068.017,42.727,7,189,2,23
227,1068.017,45.302,8,116,2,23
228,1068.017,45.732,8,134,2,23
229,1068.017,45.391,7,171,2,23
230,2248.080,41.457,3,120,2,23
231,1068.017,9.472,0,40,1,24
232,1068.017,9.641,0,40,1,24
233,1068.017,9.491,0,43,1,24
234,1068.017,10.036,0,50,1,24
235,2248.080,6.383,0,35,1,24
236,1068.017,42.907,11,134,2,24
237,1068.017,44.967,8,112,2,24
238,1068.017,46.298,3,111,2,24
239,1068.017,45.307,7,134,2,24
240,2248.080,41.482,3,139,2,24
241,1068.017,9.460,0,50,1,25
242,1068.017,9.670,0,54,1,25
243,1068.017,9.354,0,39,1,25
244,1068.017,10.025,0,47,1,25
245,2248.080,6.331,0,38,1,25
246,1068.017,42.973,11,118,2,25
247,1068.017,45.652,11,116,2,25
248,1068.017,45.908,3,104,2,25
249,1068.017,45.596,7,145,2,25
250,2248.080,41.058,0,135,2,25
251,1068.017,9.582,0,50,1,26
252,1068.017,9.789,0,54,1,26
253,1068.017,9.472,0,69,1,26
254,1068.017,9.935,0,46,1,26
255,2248.080,6.348,0,36,1,26
256,1068.017,42.469,3,100,2,26
257,1068.017,45.752,11,132,2,26
258,1068.017,45.772,8,115,2,26
259,1068.017,45.134,3,170,2,26
260,2248.080,41.735,3,118,2,26
261,1068.017,9.456,0,46,1,27
262,1068.017,9.506,0,43,1,27
263,1068.017,9.299,0,47,1,27
264,1068.017,9.971,0,47,1,27
265,2248.080,6.230,0,38,1,27
266,1068.017,42.390,7,112,2,27
267,1068.017,45.678,3,145,2,27
268,1068.017,45.881,8,158,2,27
269,1068.017,45.362,7,137,2,27
270,2248.080,41.300,3,123,2,27
271,1068.017,9.494,0,46,1,28
272,1068.017,9.544,0,43,1,28
273,1068.017,9.276,0,49,1,28
274,1068.017,10.059,0,43,1,28
275,2248.080,6.176,0,35,1,28
276,1068.017,42.970,7,116,2,28
277,1068.017,45.533,11,112,2,28
278,1068.017,45.750,8,120,2,28
279,1068.017,45.104,7,131,2,28
280,2248.080,41.333,3,208,2,28
281,1068.017,9.360,0,43,1,29
282,1068.017,9.541,0,51,1,29
283,1068.017,9.304,0,47,1,29
284,1068.017,9.801,0,46,1,29
285,2248.080,6.210,0,58,1,29
286,1068.017,42.554,11,162,2,29
287,1068.017,45.474,7,114,2,29
288,1068.017,45.289,7,112,2,29
289,1068.017,44.942,11,130,2,29
290,2248.080,41.501,3,138,2,29
291,1068.017,9.350,0,46,1,30
292,1068.017,9.709,0,43,1,30
293,1068.017,9.217,0,39,1,30
294,1068.017,9.877,0,46,1,30
295,2248.080,6.220,0,39,1,30
296,1068.017,42.193,7,112,2,30
297,1068.017,45.380,3,184,2,30
298,1068.017,46.009,7,111,2,30
299,1068.017,45.241,3,143,2,30
300,2248.080,41.611,0,115,2,30
301,1068.017,9.598,0,46,1,31
302,1068.017,9.391,0,46,1,31
303,1068.017,9.491,0,43,1,31
304,1068.017,9.664,0,46,1,31
305,2248.080,6.138,0,39,1,31
306,1068.017,42.014,7,111,2,31
307,1068.017,45.442,11,130,2,31
308,1068.017,46.380,7,127,2,31
309,1068.017,44.971,7,120,2,31
310,2248.080,41.352,3,120,2,31
311,1068.017,9.840,0,47,1,32
312,1068.017,9.398,0,55,1,32
313,1068.017,9.318,0,46,1,32
314,1068.017,9.973,0,41,1,32
315,2248.080,6.097,0,31,1,32
316,1068.017,41.987,8,108,2,32
317,1068.017,45.180,11,115,2,32
318,1068.017,45.931,11,157,2,32
319,1068.017,44.140,7,134,2,32
320,2248.080,41.252,3,127,2,32
321,1068.017,10.163,0,79,1,33
322,1068.017,9.377,0,82,1,33
323,1068.017,9.299,0,39,1,33
324,1068.017,9.702,0,55,1,33
325,2248.080,6.201,0,54,1,33
326,1068.017,42.353,7,107,2,33
327,1068.017,45.295,7,130,2,33
328,1068.017,45.602,7,144,2,33
329,1068.017,45.115,3,142,2,33
330,2248.080,41.505,3,121,2,33
331,1068.017,9.855,0,51,1,34
332,1068.017,9.100,0,39,1,34
333,1068.017,9.201,0,43,1,34
334,1068.017,9.476,0,47,1,34
335,2248.080,6.236,0,70,1,34
336,1068.017,42.399,3,112,2,34
337,1068.017,44.854,11,131,2,34
338,1068.017,45.811,8,111,2,34
339,1068.017,44.730,7,162,2,34
340,2248.080,41.264,3,148,2,34
341,1068.017,9.468,0,54,1,35
342,1068.017,9.519,0,54,1,35
343,1068.017,9.061,0,50,1,35
344,1068.017,9.605,0,43,1,35
345,2248.080,6.210,0,46,1,35
346,1068.017,42.147,3,103,2,35
347,1068.017,44.304,7,115,2,35
348,1068.017,45.357,7,173,2,35
349,1068.017,43.936,0,118,2,35
350,2248.080,41.355,3,140,2,35
351,1068.017,9.278,0,48,1,36
352,1068.017,9.264,0,43,1,36
353,1068.017,9.245,0,43,1,36
354,1068.017,9.391,0,43,1,36
355,2248.080,6.133,0,46,1,36
356,1068.017,42.145,8,122,2,36
357,1068.017,45.032,8,115,2,36
358,1068.017,45.491,3,123,2,36
359,1068.017,44.762,7,157,2,36
360,2248.080,41.078,3,132,2,36
361,1068.017,9.379,0,50,1,37
362,1068.017,9.228,0,39,1,37
363,1068.017,9.113,0,43,1,37
364,1068.017,9.465,0,42,1,37
365,2248.080,6.235,0,35,1,37
366,1068.017,41.549,7,99,2,37
367,1068.017,44.874,7,108,2,37
368,1068.017,45.762,7,108,2,37
369,1068.017,44.649,7,170,2,37
370,2248.080,41.669,7,137,2,37
371,1068.017,9.282,0,39,1,38
372,1068.017,9.224,0,43,1,38
373,1068.017,9.186,0,43,1,38
374,1068.017,9.536,0,53,1,38
375,2248.080,6.171,0,32,1,38
376,1068.017,42.484,7,99,2,38
377,1068.017,44.475,11,114,2,38
378,1068.017,45.290,7,149,2,38
379,1068.017,44.604,7,190,2,38
380,2248.080,41.470,0,140,2,38
381,1068.017,9.266,0,47,1,39
382,1068.017,9.102,0,40,1,39
383,1068.017,9.027,0,39,1,39
384,1068.017,9.560,0,51,1,39
385,2248.080,6.107,0,37,1,39
386,1068.017,41.899,7,109,2,39
387,1068.017,44.568,3,103,2,39
388,1068.017,45.263,7,118,2,39
389,1068.017,45.179,7,145,2,39
390,2248.080,41.699,3,148,2,39
391,1068.017,9.420,0,51,1,40
392,1068.017,9.386,0,55,1,40
393,1068.017,9.054,0,46,1,40
