 ,Area,Mean,Min,Max,Ch,Frame
440,1477.267,9.937,0,50,1,32
441,3181.805,7.069,0,39,1,32
442,1896.544,34.414,0,129,2,32
443,1832.281,45.290,11,113,2,32
444,1832.281,46.811,11,112,2,32
445,1832.281,36.908,0,104,2,32
446,1832.281,45.850,8,134,2,32
447,1477.267,42.280,7,100,2,32
448,3181.805,38.068,3,114,2,32
449,1896.544,8.758,0,39,1,33
450,1832.281,11.602,0,51,1,33
451,1832.281,11.020,0,47,1,33
452,1832.281,8.612,0,39,1,33
453,1832.281,8.501,0,39,1,33
454,1477.267,9.821,0,46,1,33
455,3181.805,7.112,0,31,1,33
456,1896.544,34.362,3,96,2,33
457,1832.281,45.562,11,130,2,33
458,1832.281,46.499,12,142,2,33
459,1832.281,36.724,3,96,2,33
460,1832.281,46.186,12,111,2,33
461,1477.267,41.976,11,104,2,33
462,3181.805,37.919,7,114,2,33
463,1896.544,9.233,0,43,1,34
464,1832.281,11.302,0,46,1,34
465,1832.281,11.044,0,49,1,34
466,1832.281,8.920,0,43,1,34
467,1832.281,8.591,0,36,1,34
468,1477.267,9.631,0,36,1,34
469,3181.805,7.104,0,46,1,34
470,1896.544,34.748,3,102,2,34
471,1832.281,45.576,11,122,2,34
472,1832.281,46.608,7,108,2,34
473,1832.281,37.050,3,104,2,34
474,1832.281,46.056,3,114,2,34
475,1477.267,41.874,11,108,2,34
476,3181.805,38.370,7,127,2,34
477,1896.544,9.231,0,47,1,35
478,1832.281,11.726,0,40,1,35
479,1832.281,11.267,0,39,1,35
480,1832.281,8.807,0,43,1,35
481,1832.281,8.789,0,44,1,35
482,1477.267,9.682,0,35,1,35
483,3181.805,7.150,0,46,1,35
484,1896.544,35.045,3,109,2,35
485,1832.281,45.626,7,112,2,35
486,1832.281,46.740,12,107,2,35
487,1832.281,37.253,3,109,2,35
488,1832.281,45.861,12,110,2,35
489,1477.267,41.732,11,104,2,35
490,3181.805,37.866,3,131,2,35
491,1896.544,9.920,0,68,1,36
492,1832.281,11.392,0,39,1,36
493,1832.281,11.441,0,54,1,36
494,1832.281,8.999,0,54,1,36
495,1832.281,8.780,0,36,1,36
496,1477.267,9.781,0,39,1,36
497,3181.805,7.091,0,41,1,36
498,1896.544,35.003,3,101,2,36
499,1832.281,45.740,11,144,2,36
500,1832.281,46.658,7,115,2,36
501,1832.281,37.314,3,108,2,36
502,1832.281,45.783,7,130,2,36
503,1477.267,41.921,11,98,2,36
504,3181.805,38.338,3,108,2,36
505,1896.544,9.644,0,64,1,37
506,1832.281,11.521,0,43,1,37
507,1832.281,11.621,0,55,1,37
508,1832.281,8.681,0,64,1,37
509,1832.281,9.304,0,54,1,37
510,1477.267,9.549,0,35,1,37
511,3181.805,6.984,0,34,1,37
512,1896.544,35.005,3,111,2,37
513,1832.281,44.915,7,111,2,37
514,1832.281,47.204,8,110,2,37
515,1832.281,37.456,3,111,2,37
516,1832.281,46.373,11,129,2,37
517,1477.267,42.166,12,99,2,37
518,3181.805,38.437,3,161,2,37
519,1896.544,9.028,0,47,1,38
520,1832.281,11.399,0,48,1,38
521,1832.281,11.444,0,39,1,38
522,1832.281,8.341,0,46,1,38
523,1832.281,9.266,0,60,1,38
524,1477.267,9.670,0,39,1,38
525,3181.805,6.784,0,31,1,38
526,1896.544,34.700,3,100,2,38
527,1832.281,45.510,11,120,2,38
528,1832.281,46.388,7,127,2,38
529,1832.281,37.346,3,99,2,38
530,1832.281,46.095,11,146,2,38
531,1477.267,42.254,7,103,2,38
532,3181.805,38.403,3,109,2,38
533,1896.544,9.136,0,54,1,39
534,1832.281,11.380,0,44,1,39
535,1832.281,11.519,0,35,1,39
536,1832.281,8.481,0,43,1,39
537,1832.281,9.196,0,39,1,39
538,1477.267,9.847,0,39,1,39
539,3181.805,6.933,0,31,1,39
540,1896.544,34.531,3,103,2,39
541,1832.281,45.508,11,123,2,39
542,1832.281,46.667,7,143,2,39
543,1832.281,36.596,3,103,2,39
544,1832.281,45.747,7,128,2,39
545,1477.267,42.027,12,104,2,39
546,3181.805,38.424,3,114,2,39
547,1896.544,8.805,0,59,1,40
548,1832.281,11.372,0,59,1,40
549,1832.281,11.743,0,38,1,40
550,1832.281,8.303,0,44,1,40
551,1832.281,8.902,0,43,1,40
552,1477.267,10.156,0,50,1,40
553,3181.805,6.823,0,31,1,40
554,1896.544,34.909,3,95,2,40
555,1832.281,45.313,11,136,2,40
556,1832.281,46.496,11,119,2,40
557,1832.281,36.960,3,96,2,40
558,1832.281,45.847,12,127,2,40
559,1477.267,42.446,11,96,2,40
560,3181.805,38.546,7,111,2,40
561,1896.544,8.602,0,59,1,41
562,1832.281,11.352,0,46,1,41
563,1832.281,11.154,0,43,1,41
564,1832.281,8.306,0,59,1,41
565,1832.281,9.112,0,35,1,41
566,1477.267,10.450,0,62,1,41
567,3181.805,6.831,0,31,1,41
568,1896.544,35.169,3,96,2,41
569,1832.281,45.479,7,123,2,41
570,1832.281,46.050,7,113,2,41
571,1832.281,37.212,3,96,2,41
572,1832.281,45.322,12,121,2,41
573,1477.267,42.296,15,108,2,41
574,3181.805,38.258,3,115,2,41
575,1896.544,8.461,0,39,1,42
576,1832.281,11.231,0,43,1,42
577,1832.281,11.108,0,43,1,42
578,1832.281,8.090,0,39,1,42
579,1832.281,9.011,0,48,1,42
580,1477.267,10.506,0,47,1,42
581,3181.805,6.891,0,27,1,42
582,1896.544,34.438,3,99,2,42
583,1832.281,45.231,8,114,2,42
584,1832.281,46.339,12,137,2,42
585,1832.281,36.792,3,99,2,42
586,1832.281,45.874,12,127,2,42
587,1477.267,41.720,11,142,2,42
588,3181.805,37.872,3,111,2,42
589,1896.544,8.468,0,54,1,43
590,1832.281,11.345,0,50,1,43
591,1832.281,11.112,0,43,1,43
592,1832.281,8.254,0,37,1,43
593,1832.281,8.778,0,35,1,43
594,1477.267,10.471,0,59,1,43
595,3181.805,6.810,0,31,1,43
596,1896.544,35.308,3,96,2,43
597,1832.281,45.223,11,119,2,43
598,1832.281,46.491,11,105,2,43
599,1832.281,37.387,3,96,2,43
600,1832.281,46.272,11,115,2,43
601,1477.267,42.706,11,147,2,43
602,3181.805,38.264,3,108,2,43
603,1896.544,8.412,0,42,1,44
604,1832.281,11.186,0,50,1,44
605,1832.281,11.304,0,59,1,44
606,1832.281,8.340,0,42,1,44
607,1832.281,8.857,0,49,1,44
608,1477.267,10.169,0,43,1,44
609,3181.805,6.975,0,35,1,44
610,1896.544,34.557,3,107,2,44
611,1832.281,45.396,11,125,2,44
612,1832.281,46.542,12,107,2,44
613,1832.281,36.850,3,95,2,44
614,1832.281,45.649,11,139,2,44
615,1477.267,41.998,11,100,2,44
616,3181.805,38.363,7,114,2,44
617,1896.544,8.369,0,46,1,45
618,1832.281,11.347,0,43,1,45
619,1832.281,12.299,0,74,1,45
620,1832.281,8.200,0,39,1,45
621,1832.281,9.135,0,39,1,45
622,1477.267,10.032,0,51,1,45
623,3181.805,6.931,0,36,1,45
624,1896.544,35.462,3,103,2,45
625,1832.281,45.599,11,131,2,45
626,1832.281,46.748,11,141,2,45
627,1832.281,38.015,3,103,2,45
628,1832.281,46.254,11,117,2,45
629,1477.267,42.636,12,115,2,45
630,3181.805,38.539,7,114,2,45
631,1896.544,8.083,0,39,1,46
632,1832.281,11.381,0,51,1,46
633,1832.281,12.513,0,83,1,46
634,1832.281,8.066,0,35,1,46
635,1832.281,9.083,0,46,1,46
636,1477.267,9.719,0,40,1,46
637,3181.805,6.870,0,35,1,46
638,1896.544,35.000,0,153,2,46
639,1832.281,45.325,7,117,2,46
640,1832.281,46.542,7,126,2,46
641,1832.281,37.549,0,153,2,46
642,1832.281,46.373,11,130,2,46
643,1477.267,42.692,8,96,2,46
644,3181.805,38.695,7,113,2,46
645,1896.544,8.128,0,43,1,47
646,1832.281,11.103,0,46,1,47
647,1832.281,12.209,0,59,1,47
648,1832.281,8.086,0,43,1,47
649,1832.281,9.577,0,43,1,47
650,1477.267,9.323,0,35,1,47
651,3181.805,6.840,0,35,1,47
652,1896.544,35.145,0,104,2,47
653,1832.281,45.725,11,132,2,47
654,1832.281,46.886,11,117,2,47
655,1832.281,37.281,0,104,2,47
656,1832.281,46.289,15,130,2,47
657,1477.267,42.090,11,158,2,47
658,3181.805,38.957,3,121,2,47
659,1896.544,8.007,0,39,1,48
660,1832.281,11.403,0,43,1,48
661,1832.281,12.375,0,71,1,48
662,1832.281,8.150,0,39,1,48
663,1832.281,9.325,0,43,1,48
664,1477.267,9.408,0,40,1,48
665,3181.805,6.867,0,35,1,48
666,1896.544,35.312,0,174,2,48
667,1832.281,45.578,12,107,2,48
668,1832.281,46.535,7,127,2,48
669,1832.281,37.663,0,108,2,48
670,1832.281,46.056,11,109,2,48
671,1477.267,42.064,11,104,2,48
672,3181.805,38.398,3,130,2,48
673,1896.544,8.146,0,39,1,49
674,1832.281,11.390,0,42,1,49
675,1832.281,11.538,0,59,1,49
676,1832.281,8.175,0,39,1,49
677,1832.281,9.122,0,43,1,49
678,1477.267,9.400,0,39,1,49
679,3181.805,6.883,0,32,1,49
680,1896.544,35.500,3,92,2,49
681,1832.281,44.924,7,112,2,49
682,1832.281,46.496,7,115,2,49
683,1832.281,37.747,3,99,2,49
684,1832.281,46.109,8,137,2,49
685,1477.267,42.444,12,106,2,49
686,3181.805,38.559,7,115,2,49
687,1896.544,7.925,0,39,1,50
688,1832.281,11.421,0,43,1,50
689,1832.281,11.418,0,51,1,50
690,1832.281,7.923,0,34,1,50
691,1832.281,9.018,0,55,1,50
692,1477.267,9.352,0,34,1,50
693,3181.805,6.931,0,39,1,50
694,1896.544,34.874,3,107,2,50
695,1832.281,45.536,7,119,2,50
696,1832.281,46.791,11,160,2,50
697,1832.281,36.931,3,95,2,50
698,1832.281,46.272,12,118,2,50
699,1477.267,42.484,11,99,2,50
