"","ROI","Area","Mean","Min","Max","Channel","Frame","Time","SensorName","ROIName"
"130",5,2248.08,41.806,3,144,2,13,36,"RFP","background"
"131",1,1068.017,9.457,0,43,1,14,39,"GFP","Airpore Old 1"
"132",2,1068.017,9.649,0,46,1,14,39,"GFP","Airpore Old 2"
"133",3,1068.017,9.281,0,43,1,14,39,"GFP","Airpore Old 3"
"134",4,1068.017,11.102,0,63,1,14,39,"GFP","Airpore Medium 1"
"135",5,2248.08,6.487,0,39,1,14,39,"GFP","background"
"136",1,1068.017,42.51,7,103,2,14,39,"RFP","Airpore Old 1"
"137",2,1068.017,45.414,11,110,2,14,39,"RFP","Airpore Old 2"
"138",3,1068.017,45.247,7,127,2,14,39,"RFP","Airpore Old 3"
"139",4,1068.017,46.199,11,147,2,14,39,"RFP","Airpore Medium 1"
"140",5,2248.08,42.151,3,126,2,14,39,"RFP","background"
"141",1,1068.017,9.42,0,39,1,15,42,"GFP","Airpore Old 1"
"142",2,1068.017,9.818,0,45,1,15,42,"GFP","Airpore Old 2"
"143",3,1068.017,9.236,0,39,1,15,42,"GFP","Airpore Old 3"
"144",4,1068.017,11.243,0,59,1,15,42,"GFP","Airpore Medium 1"
"145",5,2248.08,6.566,0,50,1,15,42,"GFP","background"
"146",1,1068.017,42.409,7,159,2,15,42,"RFP","Airpore Old 1"
"147",2,1068.017,45.66,7,116,2,15,42,"RFP","Airpore Old 2"
"148",3,1068.017,44.954,3,135,2,15,42,"RFP","Airpore Old 3"
"149",4,1068.017,46.031,7,142,2,15,42,"RFP","Airpore Medium 1"
"150",5,2248.08,41.502,3,124,2,15,42,"RFP","background"
"151",1,1068.017,9.394,0,46,1,16,45,"GFP","Airpore Old 1"
"152",2,1068.017,9.722,0,57,1,16,45,"GFP","Airpore Old 2"
"153",3,1068.017,9.155,0,39,1,16,45,"GFP","Airpore Old 3"
"154",4,1068.017,10.842,0,51,1,16,45,"GFP","Airpore Medium 1"
"155",5,2248.08,6.484,0,35,1,16,45,"GFP","background"
"156",1,1068.017,41.978,3,110,2,16,45,"RFP","Airpore Old 1"
"157",2,1068.017,45.355,11,130,2,16,45,"RFP","Airpore Old 2"
"158",3,1068.017,44.782,7,114,2,16,45,"RFP","Airpore Old 3"
"159",4,1068.017,45.753,7,143,2,16,45,"RFP","Airpore Medium 1"
"160",5,2248.08,41.48,3,119,2,16,45,"RFP","background"
"161",1,1068.017,9.295,0,42,1,17,48,"GFP","Airpore Old 1"
"162",2,1068.017,9.73,0,50,1,17,48,"GFP","Airpore Old 2"
"163",3,1068.017,9.314,0,43,1,17,48,"GFP","Airpore Old 3"
"164",4,1068.017,11.017,0,43,1,17,48,"GFP","Airpore Medium 1"
"165",5,2248.08,6.539,0,43,1,17,48,"GFP","background"
"166",1,1068.017,41.903,7,108,2,17,48,"RFP","Airpore Old 1"
"167",2,1068.017,45.962,11,119,2,17,48,"RFP","Airpore Old 2"
"168",3,1068.017,45.27,7,159,2,17,48,"RFP","Airpore Old 3"
"169",4,1068.017,45.468,7,120,2,17,48,"RFP","Airpore Medium 1"
"170",5,2248.08,41.752,3,132,2,17,48,"RFP","background"
"171",1,1068.017,9.715,0,48,1,18,51,"GFP","Airpore Old 1"
"172",2,1068.017,9.866,0,50,1,18,51,"GFP","Airpore Old 2"
"173",3,1068.017,9.268,0,39,1,18,51,"GFP","Airpore Old 3"
"174",4,1068.017,10.676,0,46,1,18,51,"GFP","Airpore Medium 1"
"175",5,2248.08,6.524,0,39,1,18,51,"GFP","background"
"176",1,1068.017,42.338,8,111,2,18,51,"RFP","Airpore Old 1"
"177",2,1068.017,44.94,11,124,2,18,51,"RFP","Airpore Old 2"
"178",3,1068.017,45.395,7,224,2,18,51,"RFP","Airpore Old 3"
"179",4,1068.017,45.295,7,189,2,18,51,"RFP","Airpore Medium 1"
"180",5,2248.08,41.741,3,115,2,18,51,"RFP","background"
"181",1,1068.017,9.359,0,46,1,19,54,"GFP","Airpore Old 1"
"182",2,1068.017,9.63,0,40,1,19,54,"GFP","Airpore Old 2"
"183",3,1068.017,9.31,0,50,1,19,54,"GFP","Airpore Old 3"
"184",4,1068.017,10.483,0,42,1,19,54,"GFP","Airpore Medium 1"
"185",5,2248.08,6.546,0,35,1,19,54,"GFP","background"
"186",1,1068.017,42.202,8,104,2,19,54,"RFP","Airpore Old 1"
"187",2,1068.017,44.94,7,126,2,19,54,"RFP","Airpore Old 2"
"188",3,1068.017,45.122,7,120,2,19,54,"RFP","Airpore Old 3"
"189",4,1068.017,45.512,7,138,2,19,54,"RFP","Airpore Medium 1"
"190",5,2248.08,41.364,3,155,2,19,54,"RFP","background"
"191",1,1068.017,9.467,0,46,1,20,57,"GFP","Airpore Old 1"
"192",2,1068.017,9.866,0,43,1,20,57,"GFP","Airpore Old 2"
"193",3,1068.017,9.285,0,44,1,20,57,"GFP","Airpore Old 3"
"194",4,1068.017,10.23,0,46,1,20,57,"GFP","Airpore Medium 1"
"195",5,2248.08,6.606,0,39,1,20,57,"GFP","background"
"196",1,1068.017,42.263,7,115,2,20,57,"RFP","Airpore Old 1"
"197",2,1068.017,45.115,7,112,2,20,57,"RFP","Airpore Old 2"
"198",3,1068.017,45.137,7,106,2,20,57,"RFP","Airpore Old 3"
"199",4,1068.017,45.188,8,135,2,20,57,"RFP","Airpore Medium 1"
"200",5,2248.08,41.685,3,137,2,20,57,"RFP","background"
"201",1,1068.017,9.499,0,39,1,21,60,"GFP","Airpore Old 1"
"202",2,1068.017,9.674,0,51,1,21,60,"GFP","Airpore Old 2"
"203",3,1068.017,9.318,0,42,1,21,60,"GFP","Airpore Old 3"
"204",4,1068.017,10.154,0,50,1,21,60,"GFP","Airpore Medium 1"
"205",5,2248.08,6.515,0,36,1,21,60,"GFP","background"
"206",1,1068.017,42.073,8,96,2,21,60,"RFP","Airpore Old 1"
"207",2,1068.017,45.051,7,123,2,21,60,"RFP","Airpore Old 2"
"208",3,1068.017,44.832,7,193,2,21,60,"RFP","Airpore Old 3"
"209",4,1068.017,45.391,7,134,2,21,60,"RFP","Airpore Medium 1"
"210",5,2248.08,41.699,3,156,2,21,60,"RFP","background"
"211",1,1068.017,9.723,0,46,1,22,63,"GFP","Airpore Old 1"
"212",2,1068.017,9.685,0,50,1,22,63,"GFP","Airpore Old 2"
"213",3,1068.017,9.104,0,39,1,22,63,"GFP","Airpore Old 3"
"214",4,1068.017,10.331,0,51,1,22,63,"GFP","Airpore Medium 1"
"215",5,2248.08,6.364,0,43,1,22,63,"GFP","background"
"216",1,1068.017,41.949,11,114,2,22,63,"RFP","Airpore Old 1"
"217",2,1068.017,45.696,7,135,2,22,63,"RFP","Airpore Old 2"
"218",3,1068.017,45.1,3,108,2,22,63,"RFP","Airpore Old 3"
"219",4,1068.017,45.116,8,126,2,22,63,"RFP","Airpore Medium 1"
"220",5,2248.08,41.811,7,168,2,22,63,"RFP","background"
"221",1,1068.017,9.497,0,43,1,23,66,"GFP","Airpore Old 1"
"222",2,1068.017,9.69,0,40,1,23,66,"GFP","Airpore Old 2"
"223",3,1068.017,9.342,0,39,1,23,66,"GFP","Airpore Old 3"
"224",4,1068.017,10.07,0,50,1,23,66,"GFP","Airpore Medium 1"
"225",5,2248.08,6.323,0,46,1,23,66,"GFP","background"
"226",1,1068.017,42.727,7,189,2,23,66,"RFP","Airpore Old 1"
"227",2,1068.017,45.302,8,116,2,23,66,"RFP","Airpore Old 2"
"228",3,1068.017,45.732,8,134,2,23,66,"RFP","Airpore Old 3"
"229",4,1068.017,45.391,7,171,2,23,66,"RFP","Airpore Medium 1"
"230",5,2248.08,41.457,3,120,2,23,66,"RFP","background"
"231",1,1068.017,9.472,0,40,1,24,69,"GFP","Airpore Old 1"
"232",2,1068.017,9.641,0,40,1,24,69,"GFP","Airpore Old 2"
"233",3,1068.017,9.491,0,43,1,24,69,"GFP","Airpore Old 3"
"234",4,1068.017,10.036,0,50,1,24,69,"GFP","Airpore Medium 1"
"235",5,2248.08,6.383,0,35,1,24,69,"GFP","background"
"236",1,1068.017,42.907,11,134,2,24,69,"RFP","Airpore Old 1"
"237",2,1068.017,44.967,8,112,2,24,69,"RFP","Airpore Old 2"
"238",3,1068.017,46.298,3,111,2,24,69,"RFP","Airpore Old 3"
"239",4,1068.017,45.307,7,134,2,24,69,"RFP","Airpore Medium 1"
"240",5,2248.08,41.482,3,139,2,24,69,"RFP","background"
"241",1,1068.017,9.46,0,50,1,25,72,"GFP","Airpore Old 1"
"242",2,1068.017,9.67,0,54,1,25,72,"GFP","Airpore Old 2"
"243",3,1068.017,9.354,0,39,1,25,72,"GFP","Airpore Old 3"
"244",4,1068.017,10.025,0,47,1,25,72,"GFP","Airpore Medium 1"
"245",5,2248.08,6.331,0,38,1,25,72,"GFP","background"
"246",1,1068.017,42.973,11,118,2,25,72,"RFP","Airpore Old 1"
"247",2,1068.017,45.652,11,116,2,25,72,"RFP","Airpore Old 2"
"248",3,1068.017,45.908,3,104,2,25,72,"RFP","Airpore Old 3"
"249",4,1068.017,45.596,7,145,2,25,72,"RFP","Airpore Medium 1"
"250",5,2248.08,41.058,0,135,2,25,72,"RFP","background"
"251",1,1068.017,9.582,0,50,1,26,75,"GFP","Airpore Old 1"
"252",2,1068.017,9.789,0,54,1,26,75,"GFP","Airpore Old 2"
"253",3,1068.017,9.472,0,69,1,26,75,"GFP","Airpore Old 3"
"254",4,1068.017,9.935,0,46,1,26,75,"GFP","Airpore Medium 1"
"255",5,2248.08,6.348,0,36,1,26,75,"GFP","background"
"256",1,1068.017,42.469,3,100,2,26,75,"RFP","Airpore Old 1"
"257",2,1068.017,45.752,11,132,2,26,75,"RFP","Airpore Old 2"
"258",3,1068.017,45.772,8,115,2,26,75,"RFP","Airpore Old 3"
"259",4,1068.017,45.134,3,170,2,26,75,"RFP","Airpore Medium 1"
"260",5,2248.08,41.735,3,118,2,26,75,"RFP","background"
"261",1,1068.017,9.456,0,46,1,27,78,"GFP","Airpore Old 1"
"262",2,1068.017,9.506,0,43,1,27,78,"GFP","Airpore Old 2"
"263",3,1068.017,9.299,0,47,1,27,78,"GFP","Airpore Old 3"
"264",4,1068.017,9.971,0,47,1,27,78,"GFP","Airpore Medium 1"
"265",5,2248.08,6.23,0,38,1,27,78,"GFP","background"
"266",1,1068.017,42.39,7,112,2,27,78,"RFP","Airpore Old 1"
"267",2,1068.017,45.678,3,145,2,27,78,"RFP","Airpore Old 2"
"268",3,1068.017,45.881,8,158,2,27,78,"RFP","Airpore Old 3"
"269",4,1068.017,45.362,7,137,2,27,78,"RFP","Airpore Medium 1"
"270",5,2248.08,41.3,3,123,2,27,78,"RFP","background"
"271",1,1068.017,9.494,0,46,1,28,81,"GFP","Airpore Old 1"
"272",2,1068.017,9.544,0,43,1,28,81,"GFP","Airpore Old 2"
"273",3,1068.017,9.276,0,49,1,28,81,"GFP","Airpore Old 3"
"274",4,1068.017,10.059,0,43,1,28,81,"GFP","Airpore Medium 1"
"275",5,2248.08,6.176,0,35,1,28,81,"GFP","background"
"276",1,1068.017,42.97,7,116,2,28,81,"RFP","Airpore Old 1"
"277",2,1068.017,45.533,11,112,2,28,81,"RFP","Airpore Old 2"
"278",3,1068.017,45.75,8,120,2,28,81,"RFP","Airpore Old 3"
"279",4,1068.017,45.104,7,131,2,28,81,"RFP","Airpore Medium 1"
"280",5,2248.08,41.333,3,208,2,28,81,"RFP","background"
"281",1,1068.017,9.36,0,43,1,29,84,"GFP","Airpore Old 1"
"282",2,1068.017,9.541,0,51,1,29,84,"GFP","Airpore Old 2"
"283",3,1068.017,9.304,0,47,1,29,84,"GFP","Airpore Old 3"
"284",4,1068.017,9.801,0,46,1,29,84,"GFP","Airpore Medium 1"
"285",5,2248.08,6.21,0,58,1,29,84,"GFP","background"
"286",1,1068.017,42.554,11,162,2,29,84,"RFP","Airpore Old 1"
"287",2,1068.017,45.474,7,114,2,29,84,"RFP","Airpore Old 2"
"288",3,1068.017,45.289,7,112,2,29,84,"RFP","Airpore Old 3"
"289",4,1068.017,44.942,11,130,2,29,84,"RFP","Airpore Medium 1"
"290",5,2248.08,41.501,3,138,2,29,84,"RFP","background"
"291",1,1068.017,9.35,0,46,1,30,87,"GFP","Airpore Old 1"
