"Sample","Time","ROI_Name","Mean_Calcium","Mean_Background","Ratio","File_Name"
"cngc3",213,"Airpore Old 2",6.789,58.909,0.115245548,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
"cngc3",213,"Airpore Old 3",9.054,47.156,0.192001018,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
"cngc3",213,"Airpore Medium 1",5.134,34.342,0.149496244,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
"cngc3",213,"Airpore Medium 2",8.417,62.894,0.133828346,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
"cngc3",216,"background",7.684,52.938,0.145150931,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
"cngc3",216,"Airpore Old 1",6.468,65.353,0.098970208,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
"cngc3",216,"Airpore Old 2",6.593,59.059,0.111634129,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
"cngc3",216,"Airpore Old 3",8.92,47.434,0.188050765,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
"cngc3",216,"Airpore Medium 1",5.088,33.822,0.150434628,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
"cngc3",216,"Airpore Medium 2",8.224,62.773,0.131011741,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
"cngc3",219,"background",7.639,52.539,0.145396753,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
"cngc3",219,"Airpore Old 1",6.19,65.988,0.093804934,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
"cngc3",219,"Airpore Old 2",6.78,58.13,0.116635128,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
"cngc3",219,"Airpore Old 3",8.896,46.957,0.189449922,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
"cngc3",219,"Airpore Medium 1",4.99,34.538,0.144478545,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
