"ROI","Area","Mean","Min","Max","Channel","Frame","Time","SensorName","ROIName"
6,1477.267,9.335,0,35,1,16,45,"GFP","Airpore young 1"
7,3181.805,6.823,0,35,1,16,45,"GFP","background"
1,1896.544,34.28,3,103,2,16,45,"RFP","Airpore Old 1"
2,1832.281,45.886,8,126,2,16,45,"RFP","Airpore Old 2"
3,1832.281,46.806,7,119,2,16,45,"RFP","Airpore Old 3"
4,1832.281,36.462,3,111,2,16,45,"RFP","Airpore Medium 1"
5,1832.281,45.399,7,109,2,16,45,"RFP","Airpore Medium 2"
6,1477.267,42.537,11,95,2,16,45,"RFP","Airpore young 1"
7,3181.805,38.304,3,111,2,16,45,"RFP","background"
1,1896.544,7.629,0,39,1,17,48,"GFP","Airpore Old 1"
2,1832.281,11.659,0,43,1,17,48,"GFP","Airpore Old 2"
3,1832.281,11.858,0,43,1,17,48,"GFP","Airpore Old 3"
4,1832.281,7.534,0,39,1,17,48,"GFP","Airpore Medium 1"
5,1832.281,8.947,0,38,1,17,48,"GFP","Airpore Medium 2"
6,1477.267,9.292,0,52,1,17,48,"GFP","Airpore young 1"
7,3181.805,6.901,0,31,1,17,48,"GFP","background"
1,1896.544,34.757,3,106,2,17,48,"RFP","Airpore Old 1"
2,1832.281,45.413,11,115,2,17,48,"RFP","Airpore Old 2"
3,1832.281,46.775,11,115,2,17,48,"RFP","Airpore Old 3"
4,1832.281,37.079,3,106,2,17,48,"RFP","Airpore Medium 1"
5,1832.281,46.063,7,133,2,17,48,"RFP","Airpore Medium 2"
6,1477.267,42.444,11,103,2,17,48,"RFP","Airpore young 1"
7,3181.805,38.349,7,150,2,17,48,"RFP","background"
1,1896.544,7.783,0,43,1,18,51,"GFP","Airpore Old 1"
2,1832.281,11.71,0,63,1,18,51,"GFP","Airpore Old 2"
3,1832.281,11.808,0,43,1,18,51,"GFP","Airpore Old 3"
4,1832.281,7.794,0,43,1,18,51,"GFP","Airpore Medium 1"
5,1832.281,9.059,0,43,1,18,51,"GFP","Airpore Medium 2"
6,1477.267,9.586,0,43,1,18,51,"GFP","Airpore young 1"
7,3181.805,6.882,0,39,1,18,51,"GFP","background"
1,1896.544,34.056,3,109,2,18,51,"RFP","Airpore Old 1"
2,1832.281,45.708,7,171,2,18,51,"RFP","Airpore Old 2"
3,1832.281,46.678,7,120,2,18,51,"RFP","Airpore Old 3"
4,1832.281,36.399,3,118,2,18,51,"RFP","Airpore Medium 1"
5,1832.281,46.074,7,105,2,18,51,"RFP","Airpore Medium 2"
6,1477.267,42.366,7,101,2,18,51,"RFP","Airpore young 1"
7,3181.805,38.296,3,112,2,18,51,"RFP","background"
1,1896.544,7.738,0,35,1,19,54,"GFP","Airpore Old 1"
2,1832.281,12.85,0,59,1,19,54,"GFP","Airpore Old 2"
3,1832.281,12.026,0,67,1,19,54,"GFP","Airpore Old 3"
4,1832.281,7.842,0,35,1,19,54,"GFP","Airpore Medium 1"
5,1832.281,9.222,0,47,1,19,54,"GFP","Airpore Medium 2"
6,1477.267,9.515,0,35,1,19,54,"GFP","Airpore young 1"
7,3181.805,6.841,0,28,1,19,54,"GFP","background"
1,1896.544,34.025,0,103,2,19,54,"RFP","Airpore Old 1"
2,1832.281,45.941,11,112,2,19,54,"RFP","Airpore Old 2"
3,1832.281,46.805,7,160,2,19,54,"RFP","Airpore Old 3"
4,1832.281,36.81,0,103,2,19,54,"RFP","Airpore Medium 1"
5,1832.281,45.858,8,158,2,19,54,"RFP","Airpore Medium 2"
6,1477.267,42.241,7,95,2,19,54,"RFP","Airpore young 1"
7,3181.805,38.425,7,103,2,19,54,"RFP","background"
1,1896.544,7.533,0,38,1,20,57,"GFP","Airpore Old 1"
2,1832.281,13.323,0,71,1,20,57,"GFP","Airpore Old 2"
3,1832.281,11.756,0,51,1,20,57,"GFP","Airpore Old 3"
4,1832.281,7.617,0,32,1,20,57,"GFP","Airpore Medium 1"
5,1832.281,9.518,0,52,1,20,57,"GFP","Airpore Medium 2"
6,1477.267,10.051,0,43,1,20,57,"GFP","Airpore young 1"
7,3181.805,6.931,0,31,1,20,57,"GFP","background"
1,1896.544,34.171,0,107,2,20,57,"RFP","Airpore Old 1"
2,1832.281,45.465,7,127,2,20,57,"RFP","Airpore Old 2"
3,1832.281,46.605,7,105,2,20,57,"RFP","Airpore Old 3"
4,1832.281,36.332,3,99,2,20,57,"RFP","Airpore Medium 1"
5,1832.281,45.881,12,122,2,20,57,"RFP","Airpore Medium 2"
6,1477.267,42.459,11,108,2,20,57,"RFP","Airpore young 1"
7,3181.805,38.113,3,108,2,20,57,"RFP","background"
1,1896.544,7.704,0,36,1,21,60,"GFP","Airpore Old 1"
2,1832.281,13.379,0,81,1,21,60,"GFP","Airpore Old 2"
3,1832.281,11.444,0,51,1,21,60,"GFP","Airpore Old 3"
4,1832.281,7.563,0,36,1,21,60,"GFP","Airpore Medium 1"
5,1832.281,9.304,0,46,1,21,60,"GFP","Airpore Medium 2"
6,1477.267,10.404,0,43,1,21,60,"GFP","Airpore young 1"
7,3181.805,6.948,0,39,1,21,60,"GFP","background"
1,1896.544,33.846,3,95,2,21,60,"RFP","Airpore Old 1"
2,1832.281,45.698,8,118,2,21,60,"RFP","Airpore Old 2"
3,1832.281,46.617,15,115,2,21,60,"RFP","Airpore Old 3"
4,1832.281,36.242,3,99,2,21,60,"RFP","Airpore Medium 1"
5,1832.281,45.942,12,104,2,21,60,"RFP","Airpore Medium 2"
6,1477.267,42.21,7,91,2,21,60,"RFP","Airpore young 1"
7,3181.805,38.174,7,130,2,21,60,"RFP","background"
1,1896.544,7.773,0,35,1,22,63,"GFP","Airpore Old 1"
2,1832.281,12.867,0,69,1,22,63,"GFP","Airpore Old 2"
3,1832.281,11.328,0,47,1,22,63,"GFP","Airpore Old 3"
4,1832.281,7.803,0,35,1,22,63,"GFP","Airpore Medium 1"
5,1832.281,8.969,0,47,1,22,63,"GFP","Airpore Medium 2"
6,1477.267,10.41,0,43,1,22,63,"GFP","Airpore young 1"
7,3181.805,6.857,0,27,1,22,63,"GFP","background"
1,1896.544,34.548,0,91,2,22,63,"RFP","Airpore Old 1"
2,1832.281,45.975,8,124,2,22,63,"RFP","Airpore Old 2"
3,1832.281,47.119,11,153,2,22,63,"RFP","Airpore Old 3"
4,1832.281,36.646,0,99,2,22,63,"RFP","Airpore Medium 1"
5,1832.281,45.837,7,102,2,22,63,"RFP","Airpore Medium 2"
6,1477.267,42.768,11,95,2,22,63,"RFP","Airpore young 1"
7,3181.805,38.57,3,116,2,22,63,"RFP","background"
1,1896.544,7.997,0,36,1,23,66,"GFP","Airpore Old 1"
2,1832.281,12.907,0,59,1,23,66,"GFP","Airpore Old 2"
3,1832.281,11.401,0,63,1,23,66,"GFP","Airpore Old 3"
4,1832.281,7.927,0,36,1,23,66,"GFP","Airpore Medium 1"
5,1832.281,9.03,0,46,1,23,66,"GFP","Airpore Medium 2"
6,1477.267,10.579,0,50,1,23,66,"GFP","Airpore young 1"
7,3181.805,6.885,0,32,1,23,66,"GFP","background"
1,1896.544,34.559,0,92,2,23,66,"RFP","Airpore Old 1"
2,1832.281,45.456,11,124,2,23,66,"RFP","Airpore Old 2"
3,1832.281,46.527,11,106,2,23,66,"RFP","Airpore Old 3"
4,1832.281,36.742,0,115,2,23,66,"RFP","Airpore Medium 1"
5,1832.281,45.553,11,106,2,23,66,"RFP","Airpore Medium 2"
6,1477.267,42.126,11,100,2,23,66,"RFP","Airpore young 1"
7,3181.805,38.197,3,105,2,23,66,"RFP","background"
1,1896.544,8.103,0,36,1,24,69,"GFP","Airpore Old 1"
2,1832.281,13.062,0,82,1,24,69,"GFP","Airpore Old 2"
3,1832.281,11.304,0,43,1,24,69,"GFP","Airpore Old 3"
4,1832.281,8.07,0,36,1,24,69,"GFP","Airpore Medium 1"
5,1832.281,8.831,0,39,1,24,69,"GFP","Airpore Medium 2"
6,1477.267,10.692,0,53,1,24,69,"GFP","Airpore young 1"
7,3181.805,6.983,0,31,1,24,69,"GFP","background"
1,1896.544,35.014,0,100,2,24,69,"RFP","Airpore Old 1"
2,1832.281,45.418,11,104,2,24,69,"RFP","Airpore Old 2"
3,1832.281,47.366,3,123,2,24,69,"RFP","Airpore Old 3"
4,1832.281,37.388,3,109,2,24,69,"RFP","Airpore Medium 1"
5,1832.281,45.686,11,108,2,24,69,"RFP","Airpore Medium 2"
6,1477.267,41.982,11,104,2,24,69,"RFP","Airpore young 1"
7,3181.805,38.553,3,96,2,24,69,"RFP","background"
1,1896.544,8.441,0,35,1,25,72,"GFP","Airpore Old 1"
2,1832.281,12.441,0,51,1,25,72,"GFP","Airpore Old 2"
3,1832.281,11.018,0,43,1,25,72,"GFP","Airpore Old 3"
4,1832.281,8.298,0,35,1,25,72,"GFP","Airpore Medium 1"
5,1832.281,8.71,0,35,1,25,72,"GFP","Airpore Medium 2"
6,1477.267,11.32,0,62,1,25,72,"GFP","Airpore young 1"
7,3181.805,6.907,0,32,1,25,72,"GFP","background"
1,1896.544,34.476,3,104,2,25,72,"RFP","Airpore Old 1"
2,1832.281,45.838,7,123,2,25,72,"RFP","Airpore Old 2"
3,1832.281,46.435,11,107,2,25,72,"RFP","Airpore Old 3"
4,1832.281,36.829,3,111,2,25,72,"RFP","Airpore Medium 1"
5,1832.281,45.633,11,133,2,25,72,"RFP","Airpore Medium 2"
6,1477.267,42.082,7,101,2,25,72,"RFP","Airpore young 1"
7,3181.805,37.753,3,107,2,25,72,"RFP","background"
1,1896.544,8.217,0,60,1,26,75,"GFP","Airpore Old 1"
2,1832.281,12.518,0,54,1,26,75,"GFP","Airpore Old 2"
3,1832.281,11.163,0,46,1,26,75,"GFP","Airpore Old 3"
4,1832.281,8.189,0,60,1,26,75,"GFP","Airpore Medium 1"
5,1832.281,8.494,0,36,1,26,75,"GFP","Airpore Medium 2"
6,1477.267,10.708,0,51,1,26,75,"GFP","Airpore young 1"
7,3181.805,6.959,0,35,1,26,75,"GFP","background"
1,1896.544,34.688,3,107,2,26,75,"RFP","Airpore Old 1"
2,1832.281,45.251,11,128,2,26,75,"RFP","Airpore Old 2"
3,1832.281,46.215,11,111,2,26,75,"RFP","Airpore Old 3"
4,1832.281,36.773,3,100,2,26,75,"RFP","Airpore Medium 1"
5,1832.281,45.282,11,155,2,26,75,"RFP","Airpore Medium 2"
6,1477.267,42.481,11,96,2,26,75,"RFP","Airpore young 1"
7,3181.805,37.86,0,133,2,26,75,"RFP","background"
1,1896.544,8.055,0,35,1,27,78,"GFP","Airpore Old 1"
2,1832.281,12.03,0,54,1,27,78,"GFP","Airpore Old 2"
3,1832.281,10.903,0,43,1,27,78,"GFP","Airpore Old 3"
4,1832.281,8.057,0,35,1,27,78,"GFP","Airpore Medium 1"
5,1832.281,8.602,0,43,1,27,78,"GFP","Airpore Medium 2"
6,1477.267,10.697,0,50,1,27,78,"GFP","Airpore young 1"
7,3181.805,7.149,0,47,1,27,78,"GFP","background"
1,1896.544,34.661,0,111,2,27,78,"RFP","Airpore Old 1"
2,1832.281,44.92,7,119,2,27,78,"RFP","Airpore Old 2"
3,1832.281,46.537,3,104,2,27,78,"RFP","Airpore Old 3"
4,1832.281,37.037,3,111,2,27,78,"RFP","Airpore Medium 1"
5,1832.281,45.885,11,124,2,27,78,"RFP","Airpore Medium 2"
6,1477.267,41.741,11,96,2,27,78,"RFP","Airpore young 1"
7,3181.805,38.283,0,107,2,27,78,"RFP","background"
1,1896.544,7.814,0,31,1,28,81,"GFP","Airpore Old 1"
2,1832.281,11.729,0,55,1,28,81,"GFP","Airpore Old 2"
3,1832.281,11.01,0,43,1,28,81,"GFP","Airpore Old 3"
