"Time","ROIName","ROI","Mean_Calcium","Mean_Background","Ratio"
345,"Airpore Old 3",3,8.691,47.28,0.183819796954315
345,"Airpore Medium 1",4,4.749,33.253,0.142814182179052
345,"Airpore Medium 2",5,8.132,64.013,0.127036695671192
348,"background",0,7.539,52.293,0.144168435545867
348,"Airpore Old 1",1,6.171,66.405,0.0929297492658685
348,"Airpore Old 2",2,6.716,58.854,0.114112889523227
348,"Airpore Old 3",3,8.493,47.612,0.178379400151222
348,"Airpore Medium 1",4,5.035,32.709,0.153933168241157
348,"Airpore Medium 2",5,8.018,62.836,0.127602011585715
351,"background",0,7.467,52.2,0.143045977011494
351,"Airpore Old 1",1,6.231,66.775,0.0933133657806065
351,"Airpore Old 2",2,6.548,59.343,0.110341573563858
351,"Airpore Old 3",3,8.875,48.246,0.183953073829955
351,"Airpore Medium 1",4,4.756,33.204,0.143235754728346
351,"Airpore Medium 2",5,8.391,63.624,0.131884194643531
354,"background",0,7.572,52.713,0.143645779978373
354,"Airpore Old 1",1,6.255,67.226,0.0930443578377414
354,"Airpore Old 2",2,6.565,58.04,0.113111647139904
354,"Airpore Old 3",3,8.512,48.048,0.177156177156177
354,"Airpore Medium 1",4,4.801,32.726,0.146702927336063
354,"Airpore Medium 2",5,8.153,63.971,0.127448375044942
357,"background",0,7.489,52.544,0.142528166869671
357,"Airpore Old 1",1,5.999,67.655,0.0886704604242111
357,"Airpore Old 2",2,6.643,58.389,0.113771429550086
357,"Airpore Old 3",3,8.574,47.837,0.179233647594958
357,"Airpore Medium 1",4,4.965,33.475,0.148319641523525
357,"Airpore Medium 2",5,8.156,64.015,0.127407638834648
360,"background",0,7.465,52.638,0.141817698240815
360,"Airpore Old 1",1,5.954,67.186,0.0886196529038788
360,"Airpore Old 2",2,6.768,58.703,0.11529223378703
360,"Airpore Old 3",3,8.725,47.315,0.184402409383916
360,"Airpore Medium 1",4,4.786,32.504,0.14724341619493
360,"Airpore Medium 2",5,8.31,64.067,0.129707961977305
363,"background",0,7.474,52.706,0.141805487041324
363,"Airpore Old 1",1,6.203,66.358,0.0934778022242985
363,"Airpore Old 2",2,6.674,59.657,0.111872873258796
363,"Airpore Old 3",3,8.65,48.047,0.180032051949133
363,"Airpore Medium 1",4,4.831,33.385,0.144705706155459
363,"Airpore Medium 2",5,8.089,64.445,0.125517883466522
366,"background",0,7.512,52.872,0.142078983204721
366,"Airpore Old 1",1,6.292,66.878,0.0940817608182063
366,"Airpore Old 2",2,6.533,58.491,0.111692397120925
366,"Airpore Old 3",3,8.663,47.473,0.182482674362269
366,"Airpore Medium 1",4,4.728,32.775,0.144256292906179
366,"Airpore Medium 2",5,8.003,64.448,0.124177631578947
369,"background",0,7.438,52.291,0.142242450899772
369,"Airpore Old 1",1,5.994,67.574,0.0887027554976766
369,"Airpore Old 2",2,6.523,59.42,0.109777852574891
369,"Airpore Old 3",3,8.846,47.834,0.184931220470795
369,"Airpore Medium 1",4,4.828,32.358,0.149205760553804
369,"Airpore Medium 2",5,8.137,63.922,0.127295766715685
372,"background",0,7.418,52.385,0.141605421399256
372,"Airpore Old 1",1,6.213,66.488,0.0934454337624835
372,"Airpore Old 2",2,6.87,58.829,0.116779139540023
372,"Airpore Old 3",3,8.832,47.503,0.185925099467402
372,"Airpore Medium 1",4,4.821,32.987,0.146148482735623
372,"Airpore Medium 2",5,8.44,63.637,0.13262724515612
375,"background",0,7.487,52.66,0.142176224838587
375,"Airpore Old 1",1,6.197,66.668,0.0929531409371813
375,"Airpore Old 2",2,6.524,59.365,0.109896403604818
375,"Airpore Old 3",3,8.842,47.3,0.186934460887949
375,"Airpore Medium 1",4,4.791,32.822,0.145969167022119
375,"Airpore Medium 2",5,8.249,64.108,0.128673488488176
378,"background",0,7.578,52.019,0.145677540898518
378,"Airpore Old 1",1,5.968,66.603,0.089605573322523
378,"Airpore Old 2",2,6.57,58.635,0.112049117421335
378,"Airpore Old 3",3,8.696,47.773,0.182027505076089
378,"Airpore Medium 1",4,4.818,32.604,0.147773279352227
378,"Airpore Medium 2",5,8.132,64.075,0.126913772922357
381,"background",0,7.417,52.018,0.142585258948825
381,"Airpore Old 1",1,5.973,66.375,0.0899887005649718
381,"Airpore Old 2",2,6.486,58.187,0.111468197363672
381,"Airpore Old 3",3,8.758,48.009,0.182424128809182
381,"Airpore Medium 1",4,4.818,32.512,0.148191437007874
381,"Airpore Medium 2",5,8.391,64.087,0.130931390141526
384,"background",0,7.525,52.341,0.143768747253587
384,"Airpore Old 1",1,5.933,66.812,0.0888014129198348
384,"Airpore Old 2",2,6.608,58.495,0.112966920249594
384,"Airpore Old 3",3,8.873,47.44,0.187036256323777
384,"Airpore Medium 1",4,4.765,32.654,0.145923929687021
384,"Airpore Medium 2",5,8.3,64.02,0.129646985317088
387,"background",0,7.514,52.422,0.143336767006219
387,"Airpore Old 1",1,6.104,66.368,0.0919720347155256
387,"Airpore Old 2",2,6.669,58.163,0.114660523012912
387,"Airpore Old 3",3,8.724,48.159,0.18114994082103
387,"Airpore Medium 1",4,4.64,32.858,0.141213707468501
387,"Airpore Medium 2",5,8.297,63.616,0.130423163983903
390,"background",0,7.31,52.805,0.138433860429884
390,"Airpore Old 1",1,6.054,67.742,0.0893684863157273
390,"Airpore Old 2",2,6.771,59.732,0.113356324917967
390,"Airpore Old 3",3,8.755,48.44,0.180739058629232
390,"Airpore Medium 1",4,4.671,32.781,0.142491077148348
390,"Airpore Medium 2",5,8.25,63.502,0.129917167963214
393,"background",0,7.481,52.663,0.142054193646393
393,"Airpore Old 1",1,6.194,67.46,0.0918173732582271
393,"Airpore Old 2",2,6.499,58.789,0.110547891612376
393,"Airpore Old 3",3,8.848,48.023,0.184245049247236
393,"Airpore Medium 1",4,4.802,32.086,0.149660287976064
393,"Airpore Medium 2",5,8.211,64.239,0.12781954887218
396,"background",0,7.537,52.825,0.142678655939423
396,"Airpore Old 1",1,5.956,68.12,0.0874339401056958
396,"Airpore Old 2",2,6.638,58.507,0.113456509477498
396,"Airpore Old 3",3,8.584,48.357,0.177513079802304
396,"Airpore Medium 1",4,4.501,32.091,0.140257393038547
396,"Airpore Medium 2",5,8.059,63.635,0.126644142374479
399,"background",0,7.332,52.511,0.13962788749024
399,"Airpore Old 1",1,6.014,67.313,0.089343811745131
399,"Airpore Old 2",2,6.8,59.069,0.115119605884643
399,"Airpore Old 3",3,8.593,47.854,0.179567016341372
